,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date
11878,11878,22751753,See the Hollywood Sign from a Mid-Century Townhouse,9862811,Indra,City of Los Angeles,Hollywood,34.09837,-118.32193,Entire home/apt,129.0,30,90,2020-08-30,2.43,9,178.0,2015-05-24 00:00:00
8760,8760,18118225,å…¬å›­é«˜å°”å¤«ç�ƒåœºå­¦æ ¡æ—�ç‹¬ç«‹é›…æˆ¿ã€�æ´�é�™èˆ’é€‚,124351272,Luis,Other Cities,Arcadia,34.12984,-118.0293,Private room,43.0,1,5,2018-04-07,0.11,1,0.0,2015-05-24 00:00:00
20524,20524,37665868,"Cozy Bedroom #1, Quiet and Peaceful neighborhood",71570214,Zhen,Other Cities,Monterey Park,34.04434,-118.12537,Private room,39.0,2,11,2020-03-17,0.61,2,0.0,2015-05-24 00:00:00
18161,18161,33750610,â˜®ï¸�HILLTOPIA- THE PERFECT RETREAT W/ EPIC VIEWS!,254421354,Yvette & Mick,City of Los Angeles,Hollywood Hills West,34.11017,-118.37643,Entire home/apt,225.0,2,32,2021-02-07,1.49,1,126.0,2015-05-24 00:00:00
24096,24096,42221175,El Monte Casita (sleeps 8) ä¸‰æˆ¿å…©æµ´,71719539,Katie,Other Cities,El Monte,34.09837,-118.0005,Entire home/apt,150.0,20,8,2020-12-05,0.68,5,64.0,2015-05-24 00:00:00
2145,2145,4045613,Venice Walk Street Cottage,19776172,Mel,City of Los Angeles,Venice,33.99404,-118.46238,Entire home/apt,225.0,31,146,2019-12-09,1.89,1,365.0,2015-05-24 00:00:00
9204,9204,18936307,"H-Private suite near target, shops&Mall",131460308,Kieu,Other Cities,Rosemead,34.07544,-118.06701,Entire home/apt,76.0,1,110,2021-02-07,3.5,4,332.0,2015-05-24 00:00:00
25057,25057,43212824,Studio Two Queen Suite,342075388,Le Parc Suite Hotel,Other Cities,West Hollywood,34.08329,-118.37715,Private room,214.0,1,0,,,4,345.0,2015-05-24 00:00:00
22413,22413,40140480,Beautiful and cozy place near universal,100307715,Juli,City of Los Angeles,Valley Village,34.17047,-118.38797,Entire home/apt,119.0,30,2,2020-01-29,0.14,23,365.0,2015-05-24 00:00:00
12579,12579,23827290,1 BR with SHARED Bathroom near LAX and Beach - 1,178866805,ThreeSixty,Other Cities,El Segundo,33.92393,-118.40497,Private room,65.0,2,57,2020-09-14,1.65,10,239.0,2015-05-24 00:00:00
21516,21516,39059089,Cozy duplex a home away from home,185432242,Yolie,Other Cities,Montebello,34.00887,-118.12671,Entire home/apt,90.0,3,24,2020-12-01,1.46,1,159.0,2015-05-24 00:00:00
24748,24748,42924726,Cozy room close to San Gabriel Hilton (å¸Œçˆ¾é “é…’åº—æ—�æº«é¦¨é›…æˆ¿),303181474,Angelina,Other Cities,San Gabriel,34.08211,-118.10324,Private room,188.0,1,1,2020-05-13,0.11,7,0.0,2015-05-24 00:00:00
18542,18542,34421579,Rainbow loft private entrance studio,137916392,Zoe,Unincorporated Areas,Valinda,34.03128,-117.9315,Entire home/apt,49.0,2,39,2021-02-01,2.91,2,24.0,2015-05-24 00:00:00
31805,31805,48056550,Stylish Downtown LA 2 Bed/2 Bath,30368162,Sam,City of Los Angeles,Downtown,34.04683,-118.26126,Entire home/apt,255.0,1,0,,,12,15.0,2015-05-24 00:00:00
26073,26073,44245349,Comfy Private 2BD with Parking and backyard,352387292,Valeriia,City of Los Angeles,Van Nuys,34.17281,-118.44266,Entire home/apt,85.0,30,2,2020-11-07,0.35,3,90.0,2015-05-24 00:00:00
12566,12566,23808447,"The Hiding Place,Studio/Mini Kchn/WiFi/NtFlx/Hulu",95326530,Andrew,Other Cities,Inglewood,33.96366,-118.3239,Entire home/apt,79.0,3,53,2021-01-30,1.5,3,168.0,2015-05-24 00:00:00
6915,6915,14454391,1 bedroom w/large patio in Westwood,75277436,Jennifer,City of Los Angeles,Westwood,34.06406,-118.45132,Entire home/apt,99.0,30,103,2020-09-19,1.92,3,354.0,2015-05-24 00:00:00
7728,7728,16039374,Renovated Mid Century Hillside Home in Great Area,12814972,Mark,City of Los Angeles,Montecito Heights,34.09001,-118.19795,Entire home/apt,190.0,30,0,,,2,173.0,2015-05-24 00:00:00
19623,19623,36177880,"Cozy, Private Room  in Up-and-Coming Whittier!",373564074,Jojo,Other Cities,Whittier,33.98956,-118.04977,Private room,35.0,30,1,2020-11-13,0.34,2,222.0,2015-05-24 00:00:00
12496,12496,23703818,Hollywood Bungalow Apt w/ Breathtaking Views,1274073,Nav,City of Los Angeles,Hollywood,34.10291,-118.31521,Entire home/apt,94.0,30,43,2019-11-17,1.23,1,89.0,2015-05-24 00:00:00
7142,7142,14919985,Quiet and cozy bedroom w/ Private bath,93705457,Nikki,City of Los Angeles,Valley Glen,34.17464,-118.42892,Private room,58.0,30,14,2019-12-12,0.31,3,315.0,2015-05-24 00:00:00
19984,19984,36807524,Beautiful cozy home in gardena,121148355,Yasmin,Other Cities,Gardena,33.89274,-118.3179,Entire home/apt,150.0,1,4,2020-03-08,0.22,1,0.0,2015-05-24 00:00:00
5964,5964,12875426,"Studio in Whittier, Los Angeles CA",32540670,Katie,Other Cities,Whittier,33.99241,-118.05891,Entire home/apt,59.0,2,198,2021-01-02,3.44,1,269.0,2015-05-24 00:00:00
30920,30920,47570440,Modern 4 Bed/4 Bath w/Guesthouse - Great Location!,384030134,Elkana,City of Los Angeles,Tarzana,34.16797,-118.54027,Entire home/apt,310.0,30,0,,,1,152.0,2015-05-24 00:00:00
17523,17523,32693146,Huge Oasis Yard & Pool-Ranch Home with Guest House,10832832,Katy-Rent My LA Pad,City of Los Angeles,Northridge,34.22842,-118.51055,Entire home/apt,591.0,30,10,2020-02-03,0.43,29,364.0,2015-05-24 00:00:00
28564,28564,46026510,"Spacious 1BR apt with a sofa bed, good for 4 guest",373070765,Kathryn,Other Cities,Manhattan Beach,33.90134,-118.41933,Entire home/apt,185.0,30,0,,,2,365.0,2015-05-24 00:00:00
13839,13839,26173868,Hollywood Lofting,196729646,Abraham,City of Los Angeles,Hollywood,34.09991,-118.31074,Private room,120.0,30,1,2018-07-06,0.03,1,364.0,2015-05-24 00:00:00
14071,14071,26577964,Clean & Sanitized Studio in the Heart of Pasadena,18530088,Amalya,Other Cities,Pasadena,34.1415,-118.14701,Entire home/apt,189.0,30,5,2019-11-03,0.16,29,153.0,2015-05-24 00:00:00
19754,19754,36420497,Spacious Bright Downtown Long Beach Apartment,34141929,Josephine,Other Cities,Long Beach,33.77929,-118.20111,Entire home/apt,10.0,2,22,2020-12-28,1.13,1,1.0,2015-05-24 00:00:00
19087,19087,35356852,Bright Massive Private Room in Hollywood,32776445,Jazper,City of Los Angeles,Hollywood,34.09366,-118.31706,Private room,75.0,30,0,,,1,0.0,2015-05-24 00:00:00
8632,8632,17922600,Large One Bedroom Walk to Melrose Ave from an Elegant Duplex,47734626,T James,Other Cities,West Hollywood,34.08715,-118.36716,Entire home/apt,145.0,30,55,2021-01-10,1.2,22,299.0,2015-05-24 00:00:00
15558,15558,29187155,HOUSE in VUN NUYS,219136007,David And Alex,City of Los Angeles,Van Nuys,34.19804,-118.45095,Shared room,15.0,30,2,2018-12-08,0.07,9,264.0,2015-05-24 00:00:00
2655,2655,5078813,Private Retreat Bird House,26229389,Rachael,City of Los Angeles,Sherman Oaks,34.1707,-118.43903,Entire home/apt,139.0,30,39,2020-03-03,0.54,1,0.0,2015-05-24 00:00:00
3825,3825,7806859,Relax and Enjoy,39537270,Irina And Omar,Other Cities,Lomita,33.79446,-118.32597,Entire home/apt,74.0,1,320,2019-12-30,7.83,1,0.0,2015-05-24 00:00:00
20220,20220,37129945,Del Rey Guesthouse,125887688,Phebe,City of Los Angeles,Del Rey,33.99427,-118.42018,Entire home/apt,110.0,7,23,2020-12-21,1.26,1,47.0,2015-05-24 00:00:00
29676,29676,46709715,Stay Gia | Chic Modern 3BR Townhome | Silver Lake/Echo Park  A,214936439,Stay Gia,City of Los Angeles,Westlake,34.06978,-118.2723,Entire home/apt,130.0,31,0,,,7,310.0,2015-05-24 00:00:00
5614,5614,12072165,Terranea 2BR Oceanfront Casita - Full Amenities!,41736985,Beth,Other Cities,Rancho Palos Verdes,33.73863,-118.39727,Entire home/apt,861.0,3,11,2020-09-10,0.19,10,273.0,2015-05-24 00:00:00
22787,22787,40591504,"Nice private bedroom , 5 min to the beach(walking)",17263333,Katrina,City of Los Angeles,Venice,33.97452,-118.45914,Private room,85.0,30,2,2020-02-22,0.15,1,365.0,2015-05-24 00:00:00
3464,3464,6955606,Modern Bohemian Home with Garden Oasis,10551286,Jason,City of Los Angeles,Silver Lake,34.07933,-118.28148,Entire home/apt,299.0,30,4,2021-01-03,0.22,1,39.0,2015-05-24 00:00:00
16765,16765,31193590,"""Oasis"" 4 Everything Los Angeles/OC Disneyland...",60097992,Jaesen,Other Cities,Long Beach,33.877,-118.18394,Entire home/apt,101.0,2,147,2021-02-03,5.83,4,0.0,2015-05-24 00:00:00
17929,17929,33342000,Arcadia è¶…å¸‚æ—�ç‹¬ç«‹äºŒå®¤å…¬å¯“,137819307,Min,Unincorporated Areas,East San Gabriel,34.12343,-118.06065,Entire home/apt,99.0,2,2,2019-11-14,0.11,5,0.0,2015-05-24 00:00:00
4199,4199,8666813,East Hollywood Blvd 1 bed 1 bath,10913039,Simone,City of Los Angeles,Hollywood,34.10153,-118.31389,Entire home/apt,83.0,30,156,2020-01-14,2.4,1,70.0,2015-05-24 00:00:00
16611,16611,30933426,2BEDS/2BATH HOLLYWOOD CONTEMPORARY CONDO,15699226,Rags,City of Los Angeles,East Hollywood,34.07938,-118.30875,Entire home/apt,149.0,30,7,2020-01-04,0.36,1,0.0,2015-05-24 00:00:00
21998,21998,39638504,å¤§å¥—æˆ¿ï¼Œè¿‘å¥½è�±å��è¿ªæ–¯å°¼ç�¯ç�ƒå½±åŸ�ï¼Œè¿‘å­¦æ ¡è¶…å¸‚ï¼Œç‹¬ç«‹å�«ç”Ÿé—´ï¼Œå‡ºå…¥è‡ªç”±ï¼Œå�¯ç…®ï¼ŒåŒ…æ°´ç”µç½‘ç»œï¼Œå…�è´¹å�œè½¦æ‹�åŒ…å…¥ä½�,207264779,Elaine,Other Cities,Arcadia,34.12488,-118.02691,Private room,58.0,30,7,2020-09-20,0.46,1,179.0,2015-05-24 00:00:00
11953,11953,22892397,City Terrace,169436070,Steven,Unincorporated Areas,East Los Angeles,34.04239,-118.18427,Entire home/apt,120.0,1,0,,,1,0.0,2015-05-24 00:00:00
29388,29388,46529080,Venice Beach Pad ğŸ�� ğŸ�–,2256935,Georgina,City of Los Angeles,Venice,33.97587,-118.46361,Entire home/apt,142.0,3,5,2021-01-03,1.9,1,341.0,2015-05-24 00:00:00
19929,19929,36732077,HOLLYWOOD: 99 Walk Score - PENTHOUSE-New Building!,230016718,Sam,City of Los Angeles,Hollywood,34.10276,-118.33603,Entire home/apt,233.0,31,14,2020-03-20,0.73,33,51.0,2015-05-24 00:00:00
29946,29946,46872914,Convenient 2BR/2BA Apartment at West Hollywood,32725646,Yigitcan,City of Los Angeles,Carthay,34.06174,-118.36415,Entire home/apt,151.0,30,0,,,11,0.0,2015-05-24 00:00:00
7918,7918,16375657,Hollista,5123520,Lea&Lenny,City of Los Angeles,Hollywood,34.10026,-118.35314,Entire home/apt,210.0,30,122,2021-01-23,2.45,1,212.0,2015-05-24 00:00:00
11462,11462,22152984,Private Hillside Suite with a View,161781258,Steve And Kathy,City of Los Angeles,Eagle Rock,34.13857,-118.2271,Entire home/apt,95.0,30,80,2020-11-14,2.47,1,269.0,2015-05-24 00:00:00
14832,14832,27990640,Cute Venice Beach Bungalow in the Heart of Venice,16344733,Mike,City of Los Angeles,Venice,33.99077,-118.47008,Entire home/apt,145.0,30,43,2019-10-28,1.55,1,0.0,2015-05-24 00:00:00
28339,28339,45899193,BEAUTY & Elegance! ğŸ˜Š,105890241,Lucas,City of Los Angeles,Hollywood,34.10063,-118.35299,Entire home/apt,600.0,30,0,,,4,178.0,2015-05-24 00:00:00
4400,4400,9096267,"Private Guest House, parking, 24 hr access, beach",40531263,Paul,Other Cities,Redondo Beach,33.8241,-118.38537,Entire home/apt,143.0,1,454,2021-01-24,7.12,1,11.0,2015-05-24 00:00:00
30819,30819,47511615,One Perfect LA Location,23705864,Daisy,City of Los Angeles,Sherman Oaks,34.16422,-118.42055,Entire home/apt,55.0,30,0,,,4,331.0,2015-05-24 00:00:00
27816,27816,45637308,Stay Gia | 2 Br Beach House | 10 Minutes To LAX & Beach,369712617,Adnan,City of Los Angeles,Playa del Rey,33.95867,-118.44143,Entire home/apt,190.0,31,1,2021-01-02,0.77,1,293.0,2015-05-24 00:00:00
28709,28709,46118350,Jewel Box Downtown Luxury with Pool & Views,17739626,Cheryl,City of Los Angeles,Downtown,34.05292,-118.25176,Entire home/apt,125.0,30,0,,,10,344.0,2015-05-24 00:00:00
17376,17376,32400411,*Private Hollywood Hills Guest Suite. Views of LA*,3907271,Bre,City of Los Angeles,Hollywood Hills,34.10731,-118.33892,Entire home/apt,109.0,30,9,2020-01-18,0.38,10,361.0,2015-05-24 00:00:00
2898,2898,5707408,Saddle Peak Buddha House - Malibu,19193070,Azmina,Unincorporated Areas,Topanga,34.07936,-118.63235,Entire home/apt,620.0,3,144,2021-01-10,2.03,1,241.0,2015-05-24 00:00:00
2406,2406,4502815,Nice little studio apt in Los Feliz,479903,Stefania,City of Los Angeles,Los Feliz,34.10548,-118.30552,Entire home/apt,80.0,30,21,2019-09-09,0.3,1,1.0,2015-05-24 00:00:00
6537,6537,13782018,A taste of California - Registration# HSR19-004271,305373138,Tracy,City of Los Angeles,North Hollywood,34.18891,-118.39868,Private room,110.0,2,84,2020-11-03,1.62,1,179.0,2015-05-24 00:00:00
22513,22513,40259996,Bright Lights Loft,84761702,James,City of Los Angeles,Downtown,34.04417,-118.2499,Entire home/apt,130.0,30,13,2020-03-15,0.94,1,0.0,2015-05-24 00:00:00
20352,20352,37367111,Downtown Pomona,211172081,Geo,Other Cities,Pomona,34.05653,-117.74876,Entire home/apt,250.0,1,0,,,1,365.0,2015-05-24 00:00:00
20695,20695,37926924,"LA apartment near LACMA, The Grove, Canterâ€™s Deli",51099856,Dayna,City of Los Angeles,Beverly Grove,34.06374,-118.36174,Entire home/apt,68.0,30,3,2019-12-10,0.18,1,0.0,2015-05-24 00:00:00
2064,2064,3906109,Charming Little Sunset Strip Pad,20230855,John,City of Los Angeles,Hollywood Hills West,34.09841,-118.36402,Entire home/apt,109.0,30,0,,,1,0.0,2015-05-24 00:00:00
