,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,year,month,partial_date,clean_date,weekofday
12031179,28666835,2019-07-07 00:00:00,f,82.0,$82.00,3.0,1125.0,2019,7,07-07,2019-07-07,Sun
9640578,24104551,2020-03-27 00:00:00,t,500.0,$500.00,1.0,1125.0,2020,3,03-27,2020-03-27,Fri
5657503,16662334,2019-12-22 00:00:00,t,200.0,$200.00,2.0,10.0,2019,12,12-22,2019-12-22,Sun
13690815,31341657,2019-05-19 00:00:00,f,100.0,$100.00,1.0,28.0,2019,5,05-19,2019-05-19,Sun
15369960,33689954,2020-04-28 00:00:00,f,250.0,$250.00,3.0,365.0,2020,4,04-28,2020-04-28,Tue
4643858,14314192,2019-10-04 00:00:00,t,200.0,$200.00,3.0,1125.0,2019,10,10-04,2019-10-04,Fri
10254997,25138501,2019-11-23 00:00:00,t,125.0,$125.00,2.0,1125.0,2019,11,11-23,2019-11-23,Sat
2633055,8014778,2019-09-14 00:00:00,t,165.0,$165.00,1.0,1125.0,2019,9,09-14,2019-09-14,Sat
14123181,32020479,2019-11-16 00:00:00,f,85.0,$85.00,30.0,60.0,2019,11,11-16,2019-11-16,Sat
15460773,33807782,2019-07-08 00:00:00,t,75.0,$75.00,3.0,10.0,2019,7,07-08,2019-07-08,Mon
11779301,28224556,2019-12-12 00:00:00,t,79.0,$79.00,1.0,1125.0,2019,12,12-12,2019-12-12,Thr
10608953,26005336,2020-01-03 00:00:00,t,16.0,$16.00,30.0,1125.0,2020,1,01-03,2020-01-03,Fri
12303404,29122886,2019-05-16 00:00:00,f,119.0,$119.00,28.0,1125.0,2019,5,05-16,2019-05-16,Thr
8385434,21913195,2020-04-15 00:00:00,f,158.0,$158.00,3.0,1125.0,2020,4,04-15,2020-04-15,Wed
10559866,25943369,2019-11-14 00:00:00,t,363.0,$363.00,1.0,1125.0,2019,11,11-14,2019-11-14,Thr
12189011,28981543,2020-02-10 00:00:00,t,120.0,$120.00,1.0,1125.0,2020,2,02-10,2020-02-10,Mon
9807499,24396268,2019-07-14 00:00:00,f,62.0,$62.00,2.0,7.0,2019,7,07-14,2019-07-14,Sun
512853,1103522,2020-02-26 00:00:00,t,349.0,$349.00,3.0,25.0,2020,2,02-26,2020-02-26,Wed
10458569,25741650,2020-02-25 00:00:00,f,130.0,$130.00,1.0,1125.0,2020,2,02-25,2020-02-25,Tue
1168859,3340326,2020-03-03 00:00:00,f,145.0,$145.00,1.0,30.0,2020,3,03-03,2020-03-03,Tue
6130261,17996884,2019-09-22 00:00:00,t,399.0,$399.00,2.0,1125.0,2019,9,09-22,2019-09-22,Sun
7133752,19985680,2020-01-07 00:00:00,f,50.0,$50.00,27.0,27.0,2020,1,01-07,2020-01-07,Tue
977954,2600380,2020-01-31 00:00:00,f,199.0,$199.00,30.0,180.0,2020,1,01-31,2020-01-31,Fri
15688990,34038042,2019-08-20 00:00:00,t,100.0,$100.00,30.0,300.0,2019,8,08-20,2019-08-20,Tue
1798877,5385260,2019-07-09 00:00:00,t,599.0,$599.00,1.0,1125.0,2019,7,07-09,2019-07-09,Tue
12980552,30188197,2020-01-10 00:00:00,t,91.0,$91.00,1.0,1125.0,2020,1,01-10,2020-01-10,Fri
13944864,31667861,2019-08-25 00:00:00,f,59.0,$59.00,29.0,1125.0,2019,8,08-25,2019-08-25,Sun
11100116,26997185,2019-12-05 00:00:00,t,149.0,$149.00,1.0,999.0,2019,12,12-05,2019-12-05,Thr
4144185,13264674,2020-04-25 00:00:00,f,186.0,$186.00,2.0,22.0,2020,4,04-25,2020-04-25,Sat
14743509,32873464,2019-05-28 00:00:00,f,35.0,$35.00,1.0,25.0,2019,5,05-28,2019-05-28,Tue
13770706,31329246,2020-02-14 00:00:00,f,368.0,$368.00,1.0,29.0,2020,2,02-14,2020-02-14,Fri
10949939,26735333,2019-10-05 00:00:00,f,80.0,$80.00,1.0,1125.0,2019,10,10-05,2019-10-05,Sat
4663411,14324987,2019-10-14 00:00:00,f,90.0,$90.00,2.0,60.0,2019,10,10-14,2019-10-14,Mon
9031537,23018010,2019-05-31 00:00:00,t,220.0,$220.00,2.0,90.0,2019,5,05-31,2019-05-31,Fri
3216344,10107386,2019-09-06 00:00:00,f,140.0,$140.00,3.0,31.0,2019,9,09-06,2019-09-06,Fri
1668420,4708239,2019-05-28 00:00:00,f,20.0,$20.00,1.0,1125.0,2019,5,05-28,2019-05-28,Tue
10959036,26745697,2020-04-04 00:00:00,f,117.0,$117.00,2.0,1125.0,2020,4,04-04,2020-04-04,Sat
645153,1668668,2020-02-07 00:00:00,f,75.0,$75.00,5.0,1125.0,2020,2,02-07,2020-02-07,Fri
14297768,32212859,2019-10-29 00:00:00,f,150.0,$150.00,1.0,1125.0,2019,10,10-29,2019-10-29,Tue
895305,2337670,2019-05-11 00:00:00,f,99.0,$99.00,3.0,29.0,2019,5,05-11,2019-05-11,Sat
14705011,32902212,2019-11-24 00:00:00,f,120.0,$120.00,2.0,1125.0,2019,11,11-24,2019-11-24,Sun
1215663,3712327,2020-03-27 00:00:00,f,200.0,$200.00,4.0,1125.0,2020,3,03-27,2020-03-27,Fri
13660444,31148421,2019-12-09 00:00:00,t,63.0,$63.00,1.0,7.0,2019,12,12-09,2019-12-09,Mon
1363711,4105785,2019-06-25 00:00:00,t,110.0,$110.00,3.0,1125.0,2019,6,06-25,2019-06-25,Tue
744157,1850738,2020-01-19 00:00:00,f,53.0,$53.00,1.0,28.0,2020,1,01-19,2020-01-19,Sun
12556267,29515610,2019-07-25 00:00:00,f,195.0,$195.00,2.0,1125.0,2019,7,07-25,2019-07-25,Thr
7214743,19932898,2019-06-11 00:00:00,t,600.0,$600.00,14.0,60.0,2019,6,06-11,2019-06-11,Tue
4364245,13659214,2019-08-29 00:00:00,f,185.0,$185.00,2.0,30.0,2019,8,08-29,2019-08-29,Thr
7055986,19807865,2019-11-20 00:00:00,t,59.0,$59.00,1.0,1125.0,2019,11,11-20,2019-11-20,Wed
256654,573730,2020-01-30 00:00:00,t,145.0,$145.00,3.0,1125.0,2020,1,01-30,2020-01-30,Thr
11177129,27180958,2020-03-11 00:00:00,f,131.0,$131.00,4.0,1125.0,2020,3,03-11,2020-03-11,Wed
11038609,26924734,2019-12-30 00:00:00,f,165.0,$165.00,3.0,10.0,2019,12,12-30,2019-12-30,Mon
14520625,32617169,2020-04-09 00:00:00,f,116.0,$116.00,1.0,45.0,2020,4,04-09,2020-04-09,Thr
3144998,9620076,2019-05-12 00:00:00,f,55.0,$55.00,5.0,150.0,2019,5,05-12,2019-05-12,Sun
15333168,33613652,2020-01-24 00:00:00,f,69.0,$69.00,1.0,1125.0,2020,1,01-24,2020-01-24,Fri
11662911,28028465,2019-12-19 00:00:00,t,106.0,$106.00,1.0,1125.0,2019,12,12-19,2019-12-19,Thr
2981893,9216060,2019-07-15 00:00:00,f,145.0,$145.00,2.0,2.0,2019,7,07-15,2019-07-15,Mon
7814115,21070619,2019-10-03 00:00:00,t,49.0,$49.00,1.0,31.0,2019,10,10-03,2019-10-03,Thr
3361615,10659884,2019-12-22 00:00:00,t,185.0,$185.00,2.0,30.0,2019,12,12-22,2019-12-22,Sun
4087222,13168287,2019-12-18 00:00:00,f,60.0,$60.00,1.0,1125.0,2019,12,12-18,2019-12-18,Wed
12730617,29808229,2019-08-27 00:00:00,t,150.0,$150.00,1.0,1125.0,2019,8,08-27,2019-08-27,Tue
4763312,14609935,2019-08-08 00:00:00,t,99.0,$99.00,2.0,1125.0,2019,8,08-08,2019-08-08,Thr
4812645,14806859,2019-07-28 00:00:00,t,350.0,$350.00,7.0,90.0,2019,7,07-28,2019-07-28,Sun
1479005,4372377,2019-12-04 00:00:00,f,95.0,$95.00,2.0,1125.0,2019,12,12-04,2019-12-04,Wed
13886020,31513886,2020-01-01 00:00:00,t,3540.0,"$3,540.00",3.0,365.0,2020,1,01-01,2020-01-01,Wed
1223548,3721550,2019-06-07 00:00:00,f,155.0,$155.00,1.0,4.0,2019,6,06-07,2019-06-07,Fri
14394421,32430780,2019-11-15 00:00:00,f,156.0,$156.00,2.0,175.0,2019,11,11-15,2019-11-15,Fri
10730252,26200028,2019-12-24 00:00:00,t,199.0,$199.00,3.0,1124.0,2019,12,12-24,2019-12-24,Tue
10332992,25427256,2020-01-12 00:00:00,f,60.0,$60.00,1.0,30.0,2020,1,01-12,2020-01-12,Sun
6094527,17904512,2020-02-26 00:00:00,t,120.0,$120.00,1.0,1125.0,2020,2,02-26,2020-02-26,Wed
4366552,13637979,2019-09-06 00:00:00,f,62.0,$62.00,2.0,5.0,2019,9,09-06,2019-09-06,Fri
3320959,10572100,2020-04-14 00:00:00,f,450.0,$450.00,4.0,1125.0,2020,4,04-14,2020-04-14,Tue
913005,2374512,2019-07-30 00:00:00,f,200.0,$200.00,2.0,1125.0,2019,7,07-30,2019-07-30,Tue
1225866,3615104,2019-05-30 00:00:00,f,85.0,$85.00,3.0,5.0,2019,5,05-30,2019-05-30,Thr
3845786,12466797,2020-02-05 00:00:00,f,65.0,$65.00,21.0,35.0,2020,2,02-05,2020-02-05,Wed
1444316,4211379,2020-03-29 00:00:00,f,125.0,$125.00,1.0,1125.0,2020,3,03-29,2020-03-29,Sun
4216042,13397647,2019-10-03 00:00:00,f,127.0,$127.00,2.0,1125.0,2019,10,10-03,2019-10-03,Thr
2460348,7561211,2019-07-02 00:00:00,t,650.0,$650.00,4.0,1124.0,2019,7,07-02,2019-07-02,Tue
5692555,16896919,2019-10-22 00:00:00,t,80.0,$80.00,1.0,1125.0,2019,10,10-22,2019-10-22,Tue
14149781,31950228,2020-03-12 00:00:00,f,110.0,$110.00,2.0,20.0,2020,3,03-12,2020-03-12,Thr
9888541,24541474,2019-09-22 00:00:00,f,85.0,$85.00,1.0,1125.0,2019,9,09-22,2019-09-22,Sun
11805830,28311556,2019-08-29 00:00:00,t,325.0,$325.00,3.0,7.0,2019,8,08-29,2019-08-29,Thr
6482686,18705204,2020-04-11 00:00:00,f,174.0,$174.00,7.0,1125.0,2020,4,04-11,2020-04-11,Sat
