,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights,year,month,partial_date,clean_date,weekofday
14911303,30857832,2019-05-01 00:00:00,t,160.0,$160.00,1.0,1125.0,2019,5,05-01,2019-05-01,Wed
6052955,16828653,2019-04-30 00:00:00,t,900.0,$900.00,6.0,1125.0,2019,4,04-30,2019-04-30,Tue
12479171,27556655,2019-03-18 00:00:00,f,325.0,$325.00,3.0,7.0,2019,3,03-18,2019-03-18,Mon
12664539,27920411,2019-04-25 00:00:00,t,150.0,$150.00,2.0,14.0,2019,4,04-25,2019-04-25,Thr
8790259,21611406,2019-04-07 00:00:00,t,50.0,$50.00,3.0,1125.0,2019,4,04-07,2019-04-07,Sun
7841819,20194892,2019-08-13 00:00:00,f,101.0,$101.00,1.0,3.0,2019,8,08-13,2019-08-13,Tue
8870673,21730650,2019-09-08 00:00:00,t,160.0,$160.00,4.0,30.0,2019,9,09-08,2019-09-08,Sun
1513298,4225827,2019-06-04 00:00:00,f,33.0,$33.00,5.0,15.0,2019,6,06-04,2019-06-04,Tue
4471641,13425503,2019-07-12 00:00:00,f,61.0,$61.00,2.0,5.0,2019,7,07-12,2019-07-12,Fri
10417786,24084649,2020-01-11 00:00:00,t,267.0,$267.00,2.0,30.0,2020,1,01-11,2020-01-11,Sat
2909733,8352020,2019-06-09 00:00:00,f,49.0,$49.00,1.0,1125.0,2019,6,06-09,2019-06-09,Sun
3356096,9823218,2019-06-11 00:00:00,f,99.0,$99.00,1.0,1125.0,2019,6,06-11,2019-06-11,Tue
812085,1724222,2019-12-01 00:00:00,f,89.0,$89.00,2.0,90.0,2019,12,12-01,2019-12-01,Sun
5601391,15900076,2019-09-24 00:00:00,t,350.0,$350.00,3.0,1125.0,2019,9,09-24,2019-09-24,Tue
10124075,23580818,2019-09-26 00:00:00,f,85.0,$85.00,2.0,25.0,2019,9,09-26,2019-09-26,Thr
6768711,18411396,2019-05-07 00:00:00,f,60.0,$60.00,1.0,1125.0,2019,5,05-07,2019-05-07,Tue
11603832,26189783,2019-10-06 00:00:00,f,132.0,$132.00,2.0,90.0,2019,10,10-06,2019-10-06,Sun
10448599,24100491,2019-11-11 00:00:00,t,113.0,$113.00,1.0,30.0,2019,11,11-11,2019-11-11,Mon
10409224,24061478,2019-08-12 00:00:00,f,100.0,$100.00,3.0,60.0,2019,8,08-12,2019-08-12,Mon
10943569,24969144,2020-01-27 00:00:00,f,233.0,$233.00,2.0,90.0,2020,1,01-27,2020-01-27,Mon
14730957,30709300,2019-06-14 00:00:00,f,91.0,$91.00,1.0,31.0,2019,6,06-14,2019-06-14,Fri
6515272,17973572,2019-05-21 00:00:00,t,995.0,$995.00,30.0,1125.0,2019,5,05-21,2019-05-21,Tue
11380111,25805725,2019-09-24 00:00:00,f,69.0,$69.00,10.0,356.0,2019,9,09-24,2019-09-24,Tue
8172247,20788232,2019-11-11 00:00:00,t,98.0,$98.00,1.0,29.0,2019,11,11-11,2019-11-11,Mon
7665743,19926326,2019-08-08 00:00:00,f,207.0,$207.00,2.0,1125.0,2019,8,08-08,2019-08-08,Thr
11421667,25835910,2019-08-08 00:00:00,f,59.0,$59.00,1.0,1124.0,2019,8,08-08,2019-08-08,Thr
4928287,13496008,2019-05-19 00:00:00,t,179.0,,,,2019,5,05-19,2019-05-19,Sun
10710554,22676173,2018-11-05 00:00:00,f,,,,,2018,11,11-05,2018-11-05,Mon
10597154,22582628,2019-05-13 00:00:00,t,225.0,,,,2019,5,05-13,2019-05-13,Mon
14320739,27784133,2019-10-14 00:00:00,f,,,,,2019,10,10-14,2019-10-14,Mon
10136486,21981338,2019-05-14 00:00:00,f,,,,,2019,5,05-14,2019-05-14,Tue
13008196,25977354,2019-10-02 00:00:00,f,,,,,2019,10,10-02,2019-10-02,Wed
2757193,7383844,2019-08-25 00:00:00,f,,,,,2019,8,08-25,2019-08-25,Sun
8602994,20127455,2019-08-02 00:00:00,t,176.0,,,,2019,8,08-02,2019-08-02,Fri
6652054,16758851,2018-12-05 00:00:00,f,,,,,2018,12,12-05,2018-12-05,Wed
1284790,3303109,2019-01-31 00:00:00,t,149.0,,,,2019,1,01-31,2019-01-31,Thr
15412698,28971981,2019-06-11 00:00:00,f,,,,,2019,6,06-11,2019-06-11,Tue
996371,2336654,2019-02-19 00:00:00,t,450.0,,,,2019,2,02-19,2019-02-19,Tue
9488818,21232045,2019-02-19 00:00:00,f,,,,,2019,2,02-19,2019-02-19,Tue
15728825,29262053,2019-02-09 00:00:00,f,,,,,2019,2,02-09,2019-02-09,Sat
2604984,6926689,2019-04-30 00:00:00,t,80.0,,,,2019,4,04-30,2019-04-30,Tue
8869251,20491665,2019-09-07 00:00:00,f,,,,,2019,9,09-07,2019-09-07,Sat
9321646,21056351,2019-05-26 00:00:00,f,,,,,2019,5,05-26,2019-05-26,Sun
8115632,19404784,2019-05-19 00:00:00,f,,,,,2019,5,05-19,2019-05-19,Sun
8261935,19624584,2018-11-08 00:00:00,f,,,,,2018,11,11-08,2018-11-08,Thr
6237496,15991936,2019-02-12 00:00:00,t,45.0,,,,2019,2,02-12,2019-02-12,Tue
7118458,17787445,2019-05-09 00:00:00,t,46.0,,,,2019,5,05-09,2019-05-09,Thr
14422999,27925268,2019-04-19 00:00:00,t,64.0,,,,2019,4,04-19,2019-04-19,Fri
15206157,28756032,2019-09-08 00:00:00,t,610.0,,,,2019,9,09-08,2019-09-08,Sun
14972248,28517236,2019-05-09 00:00:00,f,,,,,2019,5,05-09,2019-05-09,Thr
3424048,9192475,2019-05-26 00:00:00,t,246.0,,,,2019,5,05-26,2019-05-26,Sun
4347471,12127932,2019-10-19 00:00:00,f,,,,,2019,10,10-19,2019-10-19,Sat
3064140,8309453,2019-10-13 00:00:00,f,,,,,2019,10,10-13,2019-10-13,Sun
13872907,27231481,2019-09-06 00:00:00,f,,,,,2019,9,09-06,2019-09-06,Fri
5183421,13866428,2019-02-26 00:00:00,f,,,,,2019,2,02-26,2019-02-26,Tue
14982573,28545240,2019-09-30 00:00:00,t,168.0,,,,2019,9,09-30,2019-09-30,Mon
9846252,21714310,2018-12-02 00:00:00,f,,,,,2018,12,12-02,2018-12-02,Sun
355128,731333,2019-06-03 00:00:00,f,,,,,2019,6,06-03,2019-06-03,Mon
4897093,13418714,2018-12-12 00:00:00,t,3450.0,,,,2018,12,12-12,2018-12-12,Wed
9612957,21446997,2019-09-22 00:00:00,t,349.0,,,,2019,9,09-22,2019-09-22,Sun
2162549,5851586,2019-05-29 00:00:00,t,212.0,,,,2019,5,05-29,2019-05-29,Wed
7712513,18755925,2019-02-02 00:00:00,t,450.0,,,,2019,2,02-02,2019-02-02,Sat
11079339,23257864,2019-09-28 00:00:00,f,,,,,2019,9,09-28,2019-09-28,Sat
13480362,26590054,2019-11-01 00:00:00,f,,,,,2019,11,11-01,2019-11-01,Fri
2008655,5383963,2018-12-14 00:00:00,f,,,,,2018,12,12-14,2018-12-14,Fri
12758573,25545690,2018-11-29 00:00:00,t,200.0,,,,2018,11,11-29,2018-11-29,Thr
2910109,7811344,2018-11-17 00:00:00,f,,,,,2018,11,11-17,2018-11-17,Sat
10015562,21853390,2019-08-13 00:00:00,f,,,,,2019,8,08-13,2019-08-13,Tue
15055165,28610806,2019-06-07 00:00:00,f,,,,,2019,6,06-07,2019-06-07,Fri
5772235,15075100,2018-12-23 00:00:00,t,129.0,,,,2018,12,12-23,2018-12-23,Sun
6855181,17191621,2019-04-27 00:00:00,f,,,,,2019,4,04-27,2019-04-27,Sat
13610858,26815086,2019-06-22 00:00:00,t,69.0,,,,2019,6,06-22,2019-06-22,Sat
1081733,2687962,2019-05-15 00:00:00,t,150.0,,,,2019,5,05-15,2019-05-15,Wed
14877981,28366272,2019-05-20 00:00:00,t,250.0,,,,2019,5,05-20,2019-05-20,Mon
15987139,29565750,2019-01-23 00:00:00,t,33.0,,,,2019,1,01-23,2019-01-23,Wed
2624663,6958845,2018-12-20 00:00:00,f,,,,,2018,12,12-20,2018-12-20,Thr
7984360,19192189,2019-07-22 00:00:00,f,,,,,2019,7,07-22,2019-07-22,Mon
13055746,26044241,2019-08-06 00:00:00,f,,,,,2019,8,08-06,2019-08-06,Tue
4705645,13099623,2019-05-18 00:00:00,t,85.0,,,,2019,5,05-18,2019-05-18,Sat
6089837,15662448,2019-05-25 00:00:00,f,,,,,2019,5,05-25,2019-05-25,Sat
511503,1100996,2019-01-24 00:00:00,f,,,,,2019,1,01-24,2019-01-24,Thr
4512556,12549441,2018-12-21 00:00:00,f,,,,,2018,12,12-21,2018-12-21,Fri
15137366,28699190,2018-12-25 00:00:00,t,140.0,,,,2018,12,12-25,2018-12-25,Tue
9175702,20902770,2019-06-08 00:00:00,t,400.0,,,,2019,6,06-08,2019-06-08,Sat
2237314,6093649,2019-06-14 00:00:00,t,69.0,,,,2019,6,06-14,2019-06-14,Fri
9890169,21738519,2019-10-03 00:00:00,f,,,,,2019,10,10-03,2019-10-03,Thr
5890908,15362927,2019-05-12 00:00:00,f,,,,,2019,5,05-12,2019-05-12,Sun
14923028,28383974,2019-01-23 00:00:00,t,51.0,,,,2019,1,01-23,2019-01-23,Wed
15529175,29097378,2019-09-13 00:00:00,f,,,,,2019,9,09-13,2019-09-13,Fri
9122211,20848203,2018-11-08 00:00:00,t,549.0,,,,2018,11,11-08,2018-11-08,Thr
5470090,14491357,2019-06-20 00:00:00,f,,,,,2019,6,06-20,2019-06-20,Thr
2791726,7421608,2019-08-06 00:00:00,t,75.0,,,,2019,8,08-06,2019-08-06,Tue
3258023,8831430,2019-07-30 00:00:00,f,,,,,2019,7,07-30,2019-07-30,Tue
914033,1971681,2019-07-21 00:00:00,t,40.0,,,,2019,7,07-21,2019-07-21,Sun
404565,822309,2019-02-15 00:00:00,t,98.0,,,,2019,2,02-15,2019-02-15,Fri
3796468,10364483,2019-05-15 00:00:00,t,220.0,,,,2019,5,05-15,2019-05-15,Wed
13941528,27293341,2018-11-16 00:00:00,f,,,,,2018,11,11-16,2018-11-16,Fri
5568102,14672625,2019-06-28 00:00:00,t,102.0,,,,2019,6,06-28,2019-06-28,Fri
9878969,21756693,2019-06-19 00:00:00,f,,,,,2019,6,06-19,2019-06-19,Wed
11797769,24195607,2019-02-01 00:00:00,t,59.0,,,,2019,2,02-01,2019-02-01,Fri
15536169,29057990,2019-02-28 00:00:00,t,22.0,,,,2019,2,02-28,2019-02-28,Thr
1743925,4527218,2019-04-09 00:00:00,t,94.0,,,,2019,4,04-09,2019-04-09,Tue
5876862,15328725,2019-06-30 00:00:00,t,140.0,,,,2019,6,06-30,2019-06-30,Sun
14473800,27951447,2018-12-02 00:00:00,t,217.0,,,,2018,12,12-02,2018-12-02,Sun
10425826,22337850,2019-09-01 00:00:00,f,,,,,2019,9,09-01,2019-09-01,Sun
2726601,7236334,2019-01-04 00:00:00,f,,,,,2019,1,01-04,2019-01-04,Fri
4236788,11552737,2019-10-20 00:00:00,t,499.0,,,,2019,10,10-20,2019-10-20,Sun
14485555,27936419,2019-10-05 00:00:00,f,,,,,2019,10,10-05,2019-10-05,Sat
3487172,9479062,2019-04-17 00:00:00,f,,,,,2019,4,04-17,2019-04-17,Wed
4972346,13556363,2019-06-25 00:00:00,f,,,,,2019,6,06-25,2019-06-25,Tue
4878917,13408430,2019-07-29 00:00:00,f,,,,,2019,7,07-29,2019-07-29,Mon
5094696,13766525,2019-09-05 00:00:00,f,,,,,2019,9,09-05,2019-09-05,Thr
10224007,22079192,2019-07-16 00:00:00,f,,,,,2019,7,07-16,2019-07-16,Tue
5064797,13699107,2019-07-31 00:00:00,t,155.0,,,,2019,7,07-31,2019-07-31,Wed
4164301,11649610,2019-04-26 00:00:00,t,85.0,,,,2019,4,04-26,2019-04-26,Fri
3309771,8990861,2019-04-03 00:00:00,f,,,,,2019,4,04-03,2019-04-03,Wed
2848216,7651400,2019-09-08 00:00:00,t,79.0,,,,2019,9,09-08,2019-09-08,Sun
1017714,2303664,2019-08-04 00:00:00,t,126.0,,,,2019,8,08-04,2019-08-04,Sun
3138889,8506813,2019-01-13 00:00:00,t,149.0,,,,2019,1,01-13,2019-01-13,Sun
8997484,20625311,2019-01-16 00:00:00,f,,,,,2019,1,01-16,2019-01-16,Wed
5114816,13821216,2019-09-14 00:00:00,f,,,,,2019,9,09-14,2019-09-14,Sat
11162906,23326786,2019-10-02 00:00:00,f,,,,,2019,10,10-02,2019-10-02,Wed
54831,74770,2019-09-17 00:00:00,t,99.0,,,,2019,9,09-17,2019-09-17,Tue
8571823,20047171,2018-11-07 00:00:00,f,,,,,2018,11,11-07,2018-11-07,Wed
1046967,2459496,2019-07-29 00:00:00,f,,,,,2019,7,07-29,2019-07-29,Mon
3047378,8292046,2018-11-05 00:00:00,f,,,,,2018,11,11-05,2018-11-05,Mon
5775108,14646919,2019-05-08 00:00:00,f,,,,,2019,5,05-08,2019-05-08,Wed
694481,1404123,2019-06-18 00:00:00,t,98.0,,,,2019,6,06-18,2019-06-18,Tue
2569228,6659868,2018-08-14 00:00:00,t,900.0,,,,2018,8,08-14,2018-08-14,Tue
102234,197756,2019-03-08 00:00:00,t,142.0,,,,2019,3,03-08,2019-03-08,Fri
6889486,16616546,2019-02-24 00:00:00,f,,,,,2019,2,02-24,2019-02-24,Sun
1864428,4730689,2019-07-29 00:00:00,t,95.0,,,,2019,7,07-29,2019-07-29,Mon
14968146,27113805,2018-11-03 00:00:00,t,136.0,,,,2018,11,11-03,2018-11-03,Sat
5638368,14357626,2018-11-28 00:00:00,t,65.0,,,,2018,11,11-28,2018-11-28,Wed
4261836,11513731,2019-02-06 00:00:00,f,,,,,2019,2,02-06,2019-02-06,Wed
9665218,20874083,2019-07-19 00:00:00,t,42.0,,,,2019,7,07-19,2019-07-19,Fri
13016723,24679076,2019-02-12 00:00:00,f,,,,,2019,2,02-12,2019-02-12,Tue
1588818,4033228,2019-06-17 00:00:00,t,29.0,,,,2019,6,06-17,2019-06-17,Mon
5094510,13446686,2018-11-07 00:00:00,f,,,,,2018,11,11-07,2018-11-07,Wed
442907,873046,2019-01-31 00:00:00,t,120.0,,,,2019,1,01-31,2019-01-31,Thr
13276212,24961047,2019-05-31 00:00:00,t,411.0,,,,2019,5,05-31,2019-05-31,Fri
6393970,15820618,2018-10-10 00:00:00,t,60.0,,,,2018,10,10-10,2018-10-10,Wed
8206720,18976943,2019-05-19 00:00:00,t,120.0,,,,2019,5,05-19,2019-05-19,Sun
844495,1797692,2019-05-16 00:00:00,f,,,,,2019,5,05-16,2019-05-16,Thr
2874591,7405299,2019-01-02 00:00:00,f,,,,,2019,1,01-02,2019-01-02,Wed
10280875,21562234,2018-10-25 00:00:00,t,45.0,,,,2018,10,10-25,2018-10-25,Thr
9038478,20072749,2018-08-23 00:00:00,f,,,,,2018,8,08-23,2018-08-23,Thr
10203134,21475686,2019-07-13 00:00:00,f,,,,,2019,7,07-13,2019-07-13,Sat
12296385,23812732,2018-08-31 00:00:00,t,48.0,,,,2018,8,08-31,2018-08-31,Fri
9693496,20901767,2018-09-22 00:00:00,f,,,,,2018,9,09-22,2018-09-22,Sat
11831962,23284400,2019-03-08 00:00:00,f,,,,,2019,3,03-08,2019-03-08,Fri
4617194,12427895,2018-09-21 00:00:00,t,134.0,,,,2018,9,09-21,2018-09-21,Fri
960683,2101644,2019-08-03 00:00:00,t,69.0,,,,2019,8,08-03,2019-08-03,Sat
1748473,4423735,2019-01-06 00:00:00,t,151.0,,,,2019,1,01-06,2019-01-06,Sun
15196616,27331579,2019-01-12 00:00:00,t,70.0,,,,2019,1,01-12,2019-01-12,Sat
11202614,22494203,2019-06-26 00:00:00,f,,,,,2019,6,06-26,2019-06-26,Wed
1738770,4387244,2019-08-04 00:00:00,t,195.0,,,,2019,8,08-04,2019-08-04,Sun
1490850,3794190,2019-01-28 00:00:00,t,149.0,,,,2019,1,01-28,2019-01-28,Mon
1780411,4502959,2018-10-04 00:00:00,t,65.0,,,,2018,10,10-04,2018-10-04,Thr
14840160,26955326,2018-08-16 00:00:00,t,299.0,,,,2018,8,08-16,2018-08-16,Thr
2066253,5319793,2018-08-19 00:00:00,t,100.0,,,,2018,8,08-19,2018-08-19,Sun
845878,1802843,2018-12-07 00:00:00,f,,,,,2018,12,12-07,2018-12-07,Fri
7935557,18550743,2019-03-25 00:00:00,t,65.0,,,,2019,3,03-25,2019-03-25,Mon
14685998,26768868,2019-07-12 00:00:00,t,575.0,,,,2019,7,07-12,2019-07-12,Fri
14924220,27062001,2019-04-26 00:00:00,t,210.0,,,,2019,4,04-26,2019-04-26,Fri
190328,393966,2019-02-06 00:00:00,f,,,,,2019,2,02-06,2019-02-06,Wed
5784548,14668313,2019-07-09 00:00:00,f,,,,,2019,7,07-09,2019-07-09,Tue
1389950,3499459,2019-06-22 00:00:00,t,99.0,,,,2019,6,06-22,2019-06-22,Sat
7603398,17995579,2019-03-21 00:00:00,t,155.0,,,,2019,3,03-21,2019-03-21,Thr
4413229,11914679,2019-07-23 00:00:00,f,,,,,2019,7,07-23,2019-07-23,Tue
12830197,24455200,2019-05-16 00:00:00,t,400.0,,,,2019,5,05-16,2019-05-16,Thr
14746935,26841030,2018-12-14 00:00:00,t,245.0,,,,2018,12,12-14,2018-12-14,Fri
1531575,3895671,2019-03-24 00:00:00,f,,,,,2019,3,03-24,2019-03-24,Sun
4411400,11911059,2019-07-27 00:00:00,t,139.0,,,,2019,7,07-27,2019-07-27,Sat
12216530,23728691,2018-08-27 00:00:00,f,,,,,2018,8,08-27,2018-08-27,Mon
331161,674757,2018-12-21 00:00:00,f,,,,,2018,12,12-21,2018-12-21,Fri
12901019,24542736,2019-03-06 00:00:00,t,68.0,,,,2019,3,03-06,2019-03-06,Wed
11899342,23377439,2019-05-21 00:00:00,f,,,,,2019,5,05-21,2019-05-21,Tue
12839051,24469778,2019-02-11 00:00:00,f,,,,,2019,2,02-11,2019-02-11,Mon
8542604,19439569,2019-03-02 00:00:00,t,75.0,,,,2019,3,03-02,2019-03-02,Sat
8260675,19059058,2018-08-11 00:00:00,f,,,,,2018,8,08-11,2018-08-11,Sat
5875489,14852492,2019-03-19 00:00:00,t,95.0,,,,2019,3,03-19,2019-03-19,Tue
10829323,22083858,2019-03-20 00:00:00,f,,,,,2019,3,03-20,2019-03-20,Wed
12323203,23842885,2019-03-01 00:00:00,t,177.0,,,,2019,3,03-01,2019-03-01,Fri
11274298,22580666,2019-02-09 00:00:00,f,,,,,2019,2,02-09,2019-02-09,Sat
11079012,22343096,2018-11-02 00:00:00,t,205.0,,,,2018,11,11-02,2018-11-02,Fri
13123222,24800823,2019-07-25 00:00:00,f,,,,,2019,7,07-25,2019-07-25,Thr
15082332,27230831,2019-01-22 00:00:00,t,23.0,,,,2019,1,01-22,2019-01-22,Tue
14244255,26259455,2019-02-10 00:00:00,f,,,,,2019,2,02-10,2019-02-10,Sun
12152976,23654474,2018-10-09 00:00:00,t,88.0,,,,2018,10,10-09,2018-10-09,Tue
14866860,26990146,2019-04-26 00:00:00,t,20.0,,,,2019,4,04-26,2019-04-26,Fri
15356183,27491900,2018-11-03 00:00:00,t,995.0,,,,2018,11,11-03,2018-11-03,Sat
7303292,17479753,2019-07-30 00:00:00,f,,,,,2019,7,07-30,2019-07-30,Tue
77177,135037,2019-01-05 00:00:00,t,52.0,,,,2019,1,01-05,2019-01-05,Sat
12224649,23734371,2019-05-29 00:00:00,t,66.0,,,,2019,5,05-29,2019-05-29,Wed
2299834,6014712,2018-09-06 00:00:00,f,,,,,2018,9,09-06,2018-09-06,Thr
5446021,14010903,2018-12-04 00:00:00,t,123.0,,,,2018,12,12-04,2018-12-04,Tue
11438720,22790761,2018-08-21 00:00:00,f,,,,,2018,8,08-21,2018-08-21,Tue
856674,1828227,2019-05-22 00:00:00,t,1750.0,,,,2019,5,05-22,2019-05-22,Wed
2913090,7517597,2019-06-23 00:00:00,f,,,,,2019,6,06-23,2019-06-23,Sun
4340416,11699750,2019-01-17 00:00:00,t,197.0,,,,2019,1,01-17,2019-01-17,Thr
12162993,23667261,2019-02-23 00:00:00,t,59.0,,,,2019,2,02-23,2019-02-23,Sat
11003831,22267560,2019-01-13 00:00:00,f,,,,,2019,1,01-13,2019-01-13,Sun
6487258,15989064,2019-04-15 00:00:00,f,,,,,2019,4,04-15,2019-04-15,Mon
13190400,24870237,2019-05-12 00:00:00,f,,,,,2019,5,05-12,2019-05-12,Sun
9020875,20050556,2018-11-15 00:00:00,t,90.0,,,,2018,11,11-15,2018-11-15,Thr
2770578,7117059,2018-11-06 00:00:00,f,,,,,2018,11,11-06,2018-11-06,Tue
6411428,15846330,2018-11-27 00:00:00,f,,,,,2018,11,11-27,2018-11-27,Tue
2179916,5652968,2019-02-27 00:00:00,f,,,,,2019,2,02-27,2019-02-27,Wed
4391210,11869278,2018-11-19 00:00:00,f,,,,,2018,11,11-19,2018-11-19,Mon
6522443,16040106,2018-10-24 00:00:00,f,,,,,2018,10,10-24,2018-10-24,Wed
13048685,24721058,2018-10-10 00:00:00,t,159.0,,,,2018,10,10-10,2018-10-10,Wed
5858514,14821183,2018-11-15 00:00:00,t,66.0,,,,2018,11,11-15,2018-11-15,Thr
13439692,25142283,2019-07-10 00:00:00,f,,,,,2019,7,07-10,2019-07-10,Wed
6831217,16497096,2018-12-07 00:00:00,t,167.0,,,,2018,12,12-07,2018-12-07,Fri
6119394,15339329,2019-02-18 00:00:00,t,149.0,,,,2019,2,02-18,2019-02-18,Mon
15167232,27305866,2019-06-12 00:00:00,f,,,,,2019,6,06-12,2019-06-12,Wed
15014601,27167364,2019-03-30 00:00:00,f,,,,,2019,3,03-30,2019-03-30,Sat
14761076,26847523,2019-01-08 00:00:00,f,,,,,2019,1,01-08,2019-01-08,Tue
6348551,15743922,2019-03-21 00:00:00,f,,,,,2019,3,03-21,2019-03-21,Thr
9892771,21124678,2019-01-02 00:00:00,t,189.0,,,,2019,1,01-02,2019-01-02,Wed
4196141,11313229,2019-02-27 00:00:00,f,,,,,2019,2,02-27,2019-02-27,Wed
1210210,2925202,2018-11-16 00:00:00,t,289.0,,,,2018,11,11-16,2018-11-16,Fri
9747369,20950919,2019-04-27 00:00:00,t,57.0,,,,2019,4,04-27,2019-04-27,Sat
8311417,19123396,2019-05-19 00:00:00,f,,,,,2019,5,05-19,2019-05-19,Sun
2551594,6622855,2019-07-06 00:00:00,f,,,,,2019,7,07-06,2019-07-06,Sat
2556020,4840355,2019-04-11 00:00:00,t,95.0,,,,2019,4,04-11,2019-04-11,Thr
6370890,10864947,2018-09-19 00:00:00,t,76.0,,,,2018,9,09-19,2018-09-19,Wed
13409652,21634608,2019-05-06 00:00:00,t,175.0,,,,2019,5,05-06,2019-05-06,Mon
6378225,20946074,2018-08-22 00:00:00,f,,,,,2018,8,08-22,2018-08-22,Wed
12987793,3186709,2018-05-11 00:00:00,t,270.0,,,,2018,5,05-11,2018-05-11,Fri
12244001,2514814,2019-02-09 00:00:00,f,,,,,2019,2,02-09,2019-02-09,Sat
11687312,7949346,2019-04-27 00:00:00,f,,,,,2019,4,04-27,2019-04-27,Sat
11116277,649862,2018-10-07 00:00:00,f,,,,,2018,10,10-07,2018-10-07,Sun
3015857,23984794,2018-07-29 00:00:00,t,299.0,,,,2018,7,07-29,2018-07-29,Sun
5170080,23328950,2018-08-15 00:00:00,f,,,,,2018,8,08-15,2018-08-15,Wed
2968397,14216807,2018-09-19 00:00:00,t,100.0,,,,2018,9,09-19,2018-09-19,Wed
8058831,13750437,2018-05-13 00:00:00,t,61.0,,,,2018,5,05-13,2018-05-13,Sun
3134693,23533513,2018-11-08 00:00:00,t,157.0,,,,2018,11,11-08,2018-11-08,Thr
9856091,7665091,2018-05-13 00:00:00,t,115.0,,,,2018,5,05-13,2018-05-13,Sun
2448340,21386675,2019-01-21 00:00:00,t,129.0,,,,2019,1,01-21,2019-01-21,Mon
7562390,15803683,2018-06-23 00:00:00,t,299.0,,,,2018,6,06-23,2018-06-23,Sat
5709877,12339987,2018-09-12 00:00:00,t,650.0,,,,2018,9,09-12,2018-09-12,Wed
962455,5958680,2018-06-28 00:00:00,f,,,,,2018,6,06-28,2018-06-28,Thr
11164482,20427964,2018-08-25 00:00:00,t,193.0,,,,2018,8,08-25,2018-08-25,Sat
7490126,20091917,2019-02-16 00:00:00,f,,,,,2019,2,02-16,2019-02-16,Sat
10391279,8615430,2019-02-05 00:00:00,t,75.0,,,,2019,2,02-05,2019-02-05,Tue
14279529,10438224,2018-05-10 00:00:00,f,,,,,2018,5,05-10,2018-05-10,Thr
10945495,7869214,2019-04-29 00:00:00,t,62.0,,,,2019,4,04-29,2019-04-29,Mon
11146976,86674,2019-04-24 00:00:00,t,125.0,,,,2019,4,04-24,2019-04-24,Wed
10745945,18859975,2018-05-29 00:00:00,f,,,,,2018,5,05-29,2018-05-29,Tue
7437942,5447165,2018-06-06 00:00:00,t,125.0,,,,2018,6,06-06,2018-06-06,Wed
1466446,5787637,2018-08-31 00:00:00,f,,,,,2018,8,08-31,2018-08-31,Fri
12418340,371373,2018-07-03 00:00:00,f,,,,,2018,7,07-03,2018-07-03,Tue
11502124,20423971,2018-08-30 00:00:00,t,89.0,,,,2018,8,08-30,2018-08-30,Thr
12524567,23750171,2018-06-21 00:00:00,f,,,,,2018,6,06-21,2018-06-21,Thr
9458694,13007979,2018-12-09 00:00:00,f,,,,,2018,12,12-09,2018-12-09,Sun
876205,13320154,2018-10-02 00:00:00,f,,,,,2018,10,10-02,2018-10-02,Tue
586546,17031380,2018-05-18 00:00:00,f,,,,,2018,5,05-18,2018-05-18,Fri
14030334,24272191,2018-08-21 00:00:00,f,,,,,2018,8,08-21,2018-08-21,Tue
4390595,721679,2019-04-29 00:00:00,f,,,,,2019,4,04-29,2019-04-29,Mon
6532291,12937287,2018-08-28 00:00:00,f,,,,,2018,8,08-28,2018-08-28,Tue
6454700,14195231,2018-12-19 00:00:00,t,79.0,,,,2018,12,12-19,2018-12-19,Wed
1409501,21202401,2019-04-03 00:00:00,t,3500.0,,,,2019,4,04-03,2019-04-03,Wed
2107637,19970827,2019-01-02 00:00:00,f,,,,,2019,1,01-02,2019-01-02,Wed
8286780,17437841,2018-10-31 00:00:00,f,,,,,2018,10,10-31,2018-10-31,Wed
12375565,3062249,2018-08-27 00:00:00,f,,,,,2018,8,08-27,2018-08-27,Mon
13905231,22329127,2018-10-02 00:00:00,t,297.0,,,,2018,10,10-02,2018-10-02,Tue
5968982,20385210,2018-09-02 00:00:00,f,,,,,2018,9,09-02,2018-09-02,Sun
6591805,9433634,2019-03-18 00:00:00,t,150.0,,,,2019,3,03-18,2019-03-18,Mon
10616624,24583463,2018-09-17 00:00:00,f,,,,,2018,9,09-17,2018-09-17,Mon
8648756,16724525,2018-11-29 00:00:00,f,,,,,2018,11,11-29,2018-11-29,Thr
3329929,8937688,2019-04-05 00:00:00,f,,,,,2019,4,04-05,2019-04-05,Fri
5506271,17733175,2019-04-22 00:00:00,f,,,,,2019,4,04-22,2019-04-22,Mon
3556565,21010025,2019-04-10 00:00:00,f,,,,,2019,4,04-10,2019-04-10,Wed
10486281,19815781,2018-09-30 00:00:00,t,183.0,,,,2018,9,09-30,2018-09-30,Sun
6359098,23468606,2019-03-02 00:00:00,f,,,,,2019,3,03-02,2019-03-02,Sat
13469358,17685215,2018-11-15 00:00:00,f,,,,,2018,11,11-15,2018-11-15,Thr
11488586,6237604,2019-04-22 00:00:00,t,90.0,,,,2019,4,04-22,2019-04-22,Mon
4309651,13593397,2018-12-07 00:00:00,f,,,,,2018,12,12-07,2018-12-07,Fri
8979389,17384951,2019-04-16 00:00:00,f,,,,,2019,4,04-16,2019-04-16,Tue
2340934,12276503,2018-10-30 00:00:00,f,,,,,2018,10,10-30,2018-10-30,Tue
