id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
444018,Sweet Suite for Romantic Getaway,2205844,Suzanne,,Adams-Normandie,34.03025294621975,-118.29790082314938,Private room,150,3,0,,,1,365
1557529,Small Room in Central L.A. (3),2324191,Elisabeth,,Adams-Normandie,34.032654761419536,-118.29771124598855,Private room,50,1,17,2015-12-17,0.87,19,337
6504741,Private Room with Queen-Bed,2324191,Elisabeth,,Adams-Normandie,34.02991190701321,-118.29956042253426,Private room,60,1,1,2015-07-08,0.17,19,358
8989426,the garden room under the sky,4072379,Danielle,,Adams-Normandie,34.033016697624056,-118.30285840471815,Private room,68,1,3,2015-11-17,1.29,3,365
4839375,Private Room in Beautiful 2BR House,24905603,Kelley,,Adams-Normandie,34.02706490077478,-118.30254934678739,Private room,80,1,6,2015-12-28,0.99,1,364
8617690,3bd Victorian loft dtwn LA | USC,16467143,Jomar,,Adams-Normandie,34.02673558068629,-118.29622832876998,Private room,49,1,13,2015-12-22,4.19,2,76
5393269,Experience Rastaman Vibrations LA,21526457,Richard,,Adams-Normandie,34.02642897383292,-118.30338642117529,Private room,50,1,1,2015-03-05,0.10,1,292
8690472,USC附近,45628878,Chengxing,,Adams-Normandie,34.03384042589954,-118.29623031347005,Private room,35,2,0,,,1,68
7973248,Private Room near Downtown & USC,42074164,Debbie,,Adams-Normandie,34.03081113451371,-118.29762345415506,Private room,45,1,0,,,3,337
7692777,Small Private Room in Central L.A.,10871073,Ben,,Adams-Normandie,34.02951981472867,-118.30001969605493,Private room,65,1,0,,,1,334
9013677,Large Private Room with 2 Beds,46666154,Liz,,Adams-Normandie,34.03149511861828,-118.29930970195178,Private room,80,1,3,2015-12-05,1.29,1,351
9063047,Private Room near Downtown,42074164,Debbie,,Adams-Normandie,34.029449991879865,-118.2992236567508,Private room,60,1,0,,,3,307
5851860,URBAN Oasis by DTLA/USC. RM 1,1545056,L,,Adams-Normandie,34.0284500454379,-118.29912489275922,Private room,45,1,3,2016-01-01,2.50,2,82
