id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8327493,Quality Master Bedroom near USC,16723651,Tyler,,Adams-Normandie,34.03057835255905,-118.29762845452669,Private room,69,1,2,2015-10-22,2,1,12
1555070,West Adams Bungalow LA/ USC ,8279203,Tawny And Octavio,,Adams-Normandie,34.0292048805766,-118.30533592971057,Entire home/apt,89,2,76,2015-10-13,3.36,1,261
3052357,Modern 2BR Apt near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.032293860239236,-118.3041339229595,Entire home/apt,115,1,51,2015-10-24,3.21,3,320
8009373,Creative Art/Meeting Space,42071125,Daniel,,Adams-Normandie,34.033144069536384,-118.30130820005249,Entire home/apt,280,1,0,,,1,313
6643986,Cozy Private room in house by DTLA,33238498,Jesse,,Adams-Normandie,34.03242442101594,-118.2938952075834,Private room,50,1,12,2015-09-07,2.55,1,333
6153123,Private Suite,2324191,Elisabeth,,Adams-Normandie,34.03058705455378,-118.29954844902255,Private room,120,1,5,2015-08-22,1.16,14,351
8924216,Small Private Room in L.A.,46666154,Liz,,Adams-Normandie,34.030179764408764,-118.29832799919575,Private room,58,1,0,,,4,321
1051837,Los Angeles Rooms For Rent,2324191,Elisabeth,,Adams-Normandie,34.02794391424564,-118.29810667465286,Private room,70,1,18,2015-10-01,0.58,14,305
8924330,Private Room in Los Angeles,46666154,Liz,,Adams-Normandie,34.03139817940051,-118.29810975243589,Private room,68,1,0,,,4,345
9167855,Quarto compartilhado Los Angeles,47714615,Bruna,,Adams-Normandie,34.028396830334216,-118.29617428953385,Shared room,70,1,0,,,1,25
9303822,Apartment near USC and Downtown LA,46817990,Lyra,,Adams-Normandie,34.02820502662777,-118.2917787820269,Private room,32,1,0,,,1,23
444018,Sweet Suite for Romantic Getaway,2205844,Suzanne,,Adams-Normandie,34.03025294621975,-118.29790082314938,Private room,150,3,0,,,1,365
9174553,Large Private Cinema Style Room,23480749,Javier & Miguel,,Adams-Normandie,34.03552482105039,-118.2977658813877,Private room,45,3,0,,,1,363
8974752,The creative treehouse artist loft.,4072379,Danielle,,Adams-Normandie,34.03306052399551,-118.30246139611313,Entire home/apt,350,1,0,,,3,365
8974737,Master Suite treehouse in art loft.,4072379,Danielle,,Adams-Normandie,34.03346958902854,-118.30116598743436,Private room,85,1,2,2015-10-28,2,3,363
9013677,Large Private Room with 2 Beds,46666154,Liz,,Adams-Normandie,34.03149511861828,-118.29930970195178,Private room,80,1,1,2015-10-26,1,4,315
8617690,3bd Victorian loft dtwn LA | USC,16467143,Jomar,,Adams-Normandie,34.02673558068629,-118.29622832876998,Private room,49,1,8,2015-11-02,6.86,2,59
1471992,Los Angeles Room for Rent,2324191,Elisabeth,,Adams-Normandie,34.0323560664128,-118.29984890334451,Private room,48,1,17,2015-10-04,0.64,14,329
7826236,Apartment in Central L.A.,37935472,Eli & Stephanie,,Adams-Normandie,34.03334762834846,-118.29519091382242,Entire home/apt,115,1,7,2015-10-10,2.41,7,351
2516036,SUPERSTAR LA APARTMENT,12879495,Isaiah,,Adams-Normandie,34.02627504494591,-118.29976044688972,Entire home/apt,95,1,25,2015-08-19,1.31,1,363
8152058,Charming 3bd Victorian loft dtwn LA,16467143,Jomar,,Adams-Normandie,34.02723983150665,-118.29722270791648,Entire home/apt,119,1,0,,,2,64
1080947,LA Room Rental,2324191,Elisabeth,,Adams-Normandie,34.02864096906932,-118.30129636463387,Private room,75,7,26,2015-08-10,0.87,14,299
5393269,Experience Rastaman Vibrations LA,21526457,Richard,,Adams-Normandie,34.02642897383292,-118.30338642117529,Private room,50,1,1,2015-03-05,0.12,1,235
7692777,Small Private Room in Central L.A.,10871073,Ben,,Adams-Normandie,34.02951981472867,-118.30001969605493,Private room,65,1,0,,,3,321
9063047,Private Room near Downtown,42074164,Debbie,,Adams-Normandie,34.029449991879865,-118.2992236567508,Private room,68,1,0,,,1,348
2560403,New Modern Studio near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.03391015384202,-118.30439981640149,Entire home/apt,65,1,18,2015-09-02,0.91,3,316
7973248,Private Room near Downtown,42074164,Debbie,,Adams-Normandie,34.03081113451371,-118.29762345415506,Private room,45,1,0,,,1,321
7969463,Best place to stay in t heart of LA,6042355,Lara,,Adams-Normandie,34.032171065193374,-118.29875655988263,Private room,110,5,0,,,1,52
7185048,Spacious living room near downtown,23757383,Cathie,,Adams-Normandie,34.03248790077849,-118.30219089410826,Shared room,29,1,13,2015-10-31,5.42,1,42
8690472,USC附近,45628878,Chengxing,,Adams-Normandie,34.03384042589954,-118.29623031347005,Private room,35,2,0,,,1,19
7770889,Beautiful 2500 sqft storefront loft,13197064,Daniel,,Adams-Normandie,34.03347686887015,-118.30115043078031,Entire home/apt,275,1,0,,,1,356
6046004,Master Suite (Private Bathroom),19200935,Guilherme,,Adams-Normandie,34.02595968982241,-118.29893631817782,Private room,68,1,2,2015-10-25,2,1,365
6504741,Private Room with Queen-Bed,2324191,Elisabeth,,Adams-Normandie,34.02991190701321,-118.29956042253426,Private room,70,1,1,2015-07-08,0.25,14,298
8989426,the garden room under the sky,4072379,Danielle,,Adams-Normandie,34.033016697624056,-118.30285840471815,Private room,79,1,1,2015-10-26,1,3,363
1552495,Small Room in Central L.A. (1),2324191,Elisabeth,,Adams-Normandie,34.03145440994987,-118.29989251403758,Private room,60,1,19,2015-09-27,0.83,14,294
4839375,Private Room in Beautiful 2BR House,24905603,Kelley,,Adams-Normandie,34.02706490077478,-118.30254934678739,Private room,80,1,5,2015-10-25,1.21,1,365
9048768,New Modern Studio Near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.03400827255426,-118.30533888986342,Entire home/apt,70,1,0,,,3,298
6810048,Office Space,35649860,Max,,Agoura Hills,34.143178034194584,-118.74249461985796,Shared room,987,1,0,,,1,121
639945,4 Bedroom Mid-Century Modern House ,3180490,Elizabeth & Kenji,,Agoura Hills,34.131198342946035,-118.72117315972892,Entire home/apt,350,7,38,2015-09-27,0.98,1,0
9173848,Romantic Cottage in Old Agoura,28636099,Melody,,Agoura Hills,34.15854922725562,-118.74073342165833,Entire home/apt,150,1,0,,,1,365
4167319,A beautiful Town house near Malibu,5433968,Maryam,,Agoura Hills,34.14932324657214,-118.7706366433754,Entire home/apt,150,7,2,2015-06-30,0.29,1,331
4093938,Peaceful Modern Retreat Home,20984194,Jeremy,,Agoura Hills,34.15445495917184,-118.73926979297073,Entire home/apt,350,3,24,2015-10-18,1.84,2,213
7842682,Agoura Hills Rainbow View...,41322776,Danna,,Agoura Hills,34.15693484821792,-118.78812245658892,Entire home/apt,280,2,11,2015-10-26,4.40,1,333
6555599,"An art, music and spiritual retreat",34284862,Nadja,,Agoura Hills,34.15954677622821,-118.74321481038098,Entire home/apt,300,1,10,2015-11-01,2.04,1,334
