id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8909380,Nice quiet private ranch house,44800067,Kevin,,Acton,34.485430564181286,-118.12537950350718,Private room,50,1,27,2017-02-27,1.78,1,365
14078522,Room w/private bath on Small Ranch,84615808,Kirsten,,Acton,34.5101296624754,-118.21240692108222,Private room,55,1,9,2017-02-26,1.48,1,358
13006928,Miller Ranch Bunkhouse,71743973,Beverly,,Acton,34.51548577694994,-118.23074234186498,Entire home/apt,150,1,17,2017-02-19,2.05,1,113
12190450,Near downtown LA,65522382,Diana,,Adams-Normandie,34.034893057657484,-118.29153782107905,Private room,39,1,3,2016-07-22,0.32,1,0
9174553,Large Private Cinema Style Room,23480749,Javier & Miguel,,Adams-Normandie,34.03552482105039,-118.2977658813877,Private room,59,3,13,2016-12-23,0.81,2,341
14859779,Spacious House in Los Angeles,93062529,Jacob,,Adams-Normandie,34.035358621797094,-118.29913674867342,Entire home/apt,350,1,0,,,1,364
1557529,Tiny Room in Central LA near USC,2324191,Elisabeth,,Adams-Normandie,34.032654761419536,-118.29771124598855,Private room,50,1,19,2016-11-14,0.56,17,315
11203634,The right solution for short stays,41504364,Allen,,Adams-Normandie,34.02618058001038,-118.29282159915648,Entire home/apt,89,1,58,2017-02-24,4.62,1,7
654641,Central LA Cozy Private Room,2324191,Elisabeth,,Adams-Normandie,34.0288991695155,-118.29997554108095,Private room,56,1,21,2015-08-25,0.38,17,349
14281484,Guest House at West Adams Craftsman Home w/ Pool,1619196,Chrissy,,Adams-Normandie,34.030401092126766,-118.3071964525277,Entire home/apt,120,1,12,2017-01-22,2.13,1,153
9303822,Apartment near USC and Downtown LA,46817990,Lyra,,Adams-Normandie,34.02820502662777,-118.2917787820269,Private room,32,7,1,2015-11-19,0.06,1,0
6153123,Spacious Private Room & Bathroom,2324191,Elisabeth,,Adams-Normandie,34.03058705455378,-118.29954844902255,Private room,79,1,7,2016-12-05,0.34,17,346
4839375,Private Room in Beautiful 2BR House,24905603,Kelley,,Adams-Normandie,34.027018900774785,-118.30247234678738,Private room,80,1,33,2017-02-24,1.63,2,323
12570324,Dopest Artist Loft in LA,42523268,Jenny,,Adams-Normandie,34.03155582442028,-118.3021604132868,Private room,55,1,6,2016-12-20,0.58,1,271
16068508,The Library,89420054,Cooper,,Adams-Normandie,34.03250190907248,-118.2977477652745,Private room,45,1,21,2017-02-28,7.68,2,58
14555547,Cozy Casa de Nellina :) private room w/ Bathroom,90118152,Nelly,,Adams-Normandie,34.02979779163347,-118.30864990865666,Private room,55,1,5,2017-02-15,1.29,1,237
13308717,Rustic West Adams District Craftsman Home,46668642,Rick,,Adams-Normandie,34.03131118261751,-118.30865715318055,Private room,45,2,35,2017-01-31,4.22,1,14
9048768,New Modern Studio Near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.03400827255426,-118.30533888986342,Entire home/apt,65,1,17,2017-01-10,1.08,3,272
8428885,洛杉矶市中心 靠近USC大学附近 10号高速公路旁边 交通便利,44389104,Hao,,Adams-Normandie,34.03667995755603,-118.29442000940193,Private room,56,1,39,2017-02-28,2.25,1,289
3052357,Modern 2BR Apt near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.032293860239236,-118.3041339229595,Entire home/apt,115,1,83,2017-02-14,2.60,3,264
7898757,Studio with full bathroom,41646908,Ian,,Adams-Normandie,34.03141859276508,-118.29901648963383,Private room,30,1,3,2015-12-26,0.20,1,0
1471992,Room for Rent near USC,2324191,Elisabeth,,Adams-Normandie,34.0323560664128,-118.29984890334451,Private room,56,1,19,2016-12-14,0.45,17,354
2516036,Luxury loft (near DTLA and USC),12879495,Kathy,,Adams-Normandie,34.02598565506031,-118.29972330774031,Entire home/apt,115,1,45,2016-11-22,1.28,1,356
1080947,LA Room Rental,2324191,Elisabeth,,Adams-Normandie,34.02864096906932,-118.30129636463387,Private room,69,1,33,2016-11-14,0.72,17,323
9167855,Quarto compartilhado Los Angeles,47714615,Bruna,,Adams-Normandie,34.028396830334216,-118.29617428953385,Shared room,70,1,0,,,1,0
5393269,Experience Rastaman Vibrations LA,21526457,Richard,,Adams-Normandie,34.02642897383292,-118.30338642117529,Private room,50,1,1,2015-03-05,0.04,1,0
5851860,URBAN Oasis by DTLA/USC. RM 1,1545056,L,,Adams-Normandie,34.0282050454379,-118.30219189275923,Private room,55,2,25,2017-02-19,1.63,2,109
6504741,"USC, Central LA Room with Queen-Bed",2324191,Elisabeth,,Adams-Normandie,34.02991190701321,-118.29956042253426,Private room,56,1,10,2017-01-02,0.50,17,357
12136080,Comfortable and Beautiful Home,24905603,Kelley,,Adams-Normandie,34.0266321605308,-118.30112495941844,Private room,80,1,5,2016-10-31,0.51,2,152
9645396,URBAN Oasis close to DTLA/USC. RM 2,1545056,L,,Adams-Normandie,34.029443077482235,-118.30212965739834,Private room,50,2,22,2017-02-28,1.56,2,104
1552495,Tiny Room near Downtown and USC (1),2324191,Elisabeth,,Adams-Normandie,34.03145440994987,-118.29989251403758,Private room,59,1,23,2016-07-05,0.59,17,280
9839577,Gorgeous New Guest House + Backyard,16915272,Qiana,,Adams-Normandie,34.02936202489298,-118.3060784870354,Entire home/apt,97,1,60,2017-02-21,6.16,1,44
14489879,Saje House Blue Room,89420054,Cooper,,Adams-Normandie,34.03126225665486,-118.2996508993936,Private room,45,1,11,2017-02-26,2.68,2,334
8327493,Quality Master Bedroom near USC,16723651,Tyler,,Adams-Normandie,34.03057835255905,-118.29762845452669,Private room,69,2,2,2015-10-22,0.12,1,0
2560403,New Modern Studio near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.03391015384202,-118.30439981640149,Entire home/apt,60,1,62,2017-02-09,1.73,3,131
1051837,Private Room near USC,2324191,Elisabeth,,Adams-Normandie,34.02794391424564,-118.29810667465286,Private room,56,1,25,2016-11-27,0.53,17,343
13748272,Warehouse/Loft near Downtown LA,38791141,Leah,,Adams-Normandie,34.031979738431964,-118.3022228786744,Entire home/apt,100,1,0,,,1,0
8271459,Agoura Hills room near Malibu,43614705,Rick,,Agoura Hills,34.15658934975999,-118.78246362234988,Private room,75,1,2,2016-08-13,0.28,1,359
6144355,Cozy Retreat with Private Bath Near Malibu,31872518,Mary,,Agoura Hills,34.16401435452452,-118.77785570524453,Private room,65,2,45,2017-02-23,2.05,1,164
639945,4 Bedroom Mid-Century Modern House ,3180490,Elizabeth & Kenji,,Agoura Hills,34.131198342946035,-118.72117315972892,Entire home/apt,225,30,41,2016-10-23,0.75,1,288
5698345,Beautiful Room in Agoura Hills,6375700,Cecilia,,Agoura Hills,34.15276030079518,-118.7730623744627,Private room,45,3,2,2016-03-09,0.11,1,289
1370927,"Big, Kid-Friendly House with Yard!",7434012,Tori,,Agoura Hills,34.152921675628264,-118.78920543907199,Entire home/apt,150,5,4,2015-07-11,0.15,1,0
14019384,3BR Agoura Hills Waterfront House,86748234,Evolve Vacation Rental,,Agoura Hills,34.15113564584508,-118.79045086642468,Entire home/apt,285,4,1,2016-12-16,0.38,1,0
7789103,"Warm, suburban family home and pool",40905183,Stefanie,,Agoura Hills,34.1531188912494,-118.76211961409747,Entire home/apt,250,2,0,,,1,0
14536547,Beautiful Home in Agoura Hills,68446088,Maria,,Agoura Hills,34.151025637379384,-118.79121257379029,Entire home/apt,319,1,1,2016-11-25,0.30,2,335
12627455,jakes place,68561716,Robert,,Agoura Hills,34.13925262092859,-118.73597022048492,Entire home/apt,850,1,3,2016-08-28,0.29,1,365
7842682,Agoura Hills Rainbow View...,41322776,Danna,,Agoura Hills,34.15693484821792,-118.78812245658892,Entire home/apt,340,2,40,2017-01-03,2.15,1,331
13671213,Nice room in beutiful Mountains,67631110,Ester,,Agoura Hills,34.145308395396455,-118.77206555882867,Private room,40,3,3,2017-02-02,0.43,1,126
989831,Be my guest at newly remodeled home,5433968,Maryam,,Agoura Hills,34.14854853604788,-118.77098416798917,Private room,70,2,21,2016-12-31,0.46,2,364
8295931,Parisian large apartment,43126477,Rhiannon,,Agoura Hills,34.14885624481192,-118.75933867224526,Entire home/apt,129,2,3,2016-03-01,0.21,1,365
15043283,"Beautiful, Brand New Home with Views",8763207,Hayley,,Agoura Hills,34.1413143729513,-118.74630801902727,Entire home/apt,350,1,6,2016-12-31,1.18,2,79
3510544,Agoura Hills Private Room ,17675084,Marlene,,Agoura Hills,34.16636397666929,-118.74870279925906,Private room,85,1,32,2017-02-12,1.06,1,3
6810048,Office Space,35649860,Max,,Agoura Hills,34.143178034194584,-118.74249461985796,Shared room,987,1,0,,,1,0
5798058,Lovely room with a view,3159697,Tam,,Agoura Hills,34.150508622479336,-118.78746884848293,Private room,75,1,2,2016-09-25,0.09,4,363
3175657,Nice California King Size bed,5433968,Maryam,,Agoura Hills,34.14939924862702,-118.76920235840836,Private room,75,2,13,2016-11-24,0.42,2,364
12610053,Beautiful Bedroom & private Bath,68446088,Maria,,Agoura Hills,34.150690693201895,-118.79119529730914,Private room,87,1,20,2016-11-17,1.94,2,273
683355,one bedroom with  shared bath.,3159697,Tam,,Agoura Hills,34.14939297634711,-118.78755738049773,Private room,55,2,29,2016-09-19,0.55,4,361
