id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9839577,Gorgeous New Guest House + Backyard,16915272,Qiana,,Adams-Normandie,34.02936202489298,-118.3060784870354,Entire home/apt,92,2,10,2016-06-30,6.00,1,21
1051837,Los Angeles Rooms For Rent,2324191,Elisabeth,,Adams-Normandie,34.02794391424564,-118.29810667465286,Private room,68,1,19,2016-01-26,0.48,22,258
12190450,Near downtown LA,65522382,Diana,,Adams-Normandie,34.034893057657484,-118.29153782107905,Private room,39,1,2,2016-05-30,1.43,1,9
10562543,"2B, 2 1/2Bath right off HWY 101",32380257,Wendy,,Agoura Hills,34.14544585833396,-118.74378566799106,Entire home/apt,127,30,0,,,3,365
6810048,Office Space,35649860,Max,,Agoura Hills,34.143178034194584,-118.74249461985796,Shared room,987,1,0,,,1,0
4093938,Peaceful Modern Retreat Home,20984194,Jeremy,,Agoura Hills,34.15445495917184,-118.73926979297073,Entire home/apt,350,2,38,2016-06-03,1.81,2,10
1370927,"Big, Kid-Friendly House with Yard!",7434012,Tori,,Agoura Hills,34.152921675628264,-118.78920543907199,Entire home/apt,150,5,4,2015-07-11,0.22,1,0
12627455,jakes place,68561716,Robert,,Agoura Hills,34.13925262092859,-118.73597022048492,Entire home/apt,750,1,1,2016-04-29,0.45,1,363
9856629,Charming 1 bdr in Agoura house,50737756,Richard,,Agoura Hills,34.15300031821059,-118.78870361992377,Private room,55,2,0,,,2,151
2033686,cool mountainside studio,10264249,Laurie,,Agoura Hills,34.15481001782332,-118.75497567953613,Private room,50,1,0,,,1,365
9111945,Private & Lux Suite in Agoura Hills,47486557,Rick And Lori,,Agoura Hills,34.1490547536482,-118.78035199075624,Private room,45,1,15,2016-06-07,2.26,1,154
5698345,Beautiful Room in Agoura Hills,6375700,Cecilia,,Agoura Hills,34.15276030079518,-118.7730623744627,Private room,55,3,2,2016-03-09,0.19,1,363
6513704,Nice bedroom with shared bath,3159697,Tam,,Agoura Hills,34.15103579901806,-118.7876664556459,Private room,55,2,4,2016-03-29,0.41,4,316
683355,one bedroom with  shared bath.,3159697,Tam,,Agoura Hills,34.14939297634711,-118.78755738049773,Private room,55,2,27,2016-05-22,0.60,4,364
5059964,Charming House on A Cul-de-sac,26128286,David,,Agoura Hills,34.15303233232593,-118.78732186515758,Private room,80,1,11,2016-05-29,0.65,1,305
8295931,Parisian large apartment,43126477,Rhiannon,,Agoura Hills,34.14885624481192,-118.75933867224526,Entire home/apt,129,2,3,2016-03-01,0.50,1,365
6144355,Cozy Retreat w/Pvt Bath Near Malibu,31872518,Mary,,Agoura Hills,34.16401435452452,-118.77785570524453,Private room,65,1,21,2016-06-26,1.52,1,337
3510544,Agoura Hills Private Room ,17675084,Marlene,,Agoura Hills,34.16636397666929,-118.74870279925906,Private room,80,1,30,2016-06-27,1.35,1,365
3175657,Nice California King Size bed,5433968,Maryam,,Agoura Hills,34.14939924862702,-118.76920235840836,Private room,75,2,10,2016-06-01,0.44,3,365
639945,4 Bedroom Mid-Century Modern House ,3180490,Elizabeth & Kenji,,Agoura Hills,34.131198342946035,-118.72117315972892,Entire home/apt,500,7,38,2015-09-27,0.81,1,0
5798058,Lovely room with a view,3159697,Tam,,Agoura Hills,34.150508622479336,-118.78746884848293,Private room,69,1,1,2015-05-10,0.07,4,363
13571102,Great room in stylish clean house,50737756,Richard,,Agoura Hills,34.15414974084356,-118.79028144088113,Private room,45,3,0,,,2,325
5230843,"Heart Agoura Hills,  clean & bright",5706269,Mai,,Agoura Hills,34.15441783055395,-118.79038380814912,Private room,55,3,8,2016-05-28,0.56,3,331
7842682,Agoura Hills Rainbow View...,41322776,Danna,,Agoura Hills,34.15693484821792,-118.78812245658892,Entire home/apt,320,2,22,2016-06-26,2.10,1,321
13082024,"Great Getaway in Agoura Hills, 15-20 to Malibu",59839050,Patty,,Agoura Hills,34.163801328786555,-118.75377928414524,Private room,95,1,0,,,1,365
989831,Be my guest at newly remodeled home,5433968,Maryam,,Agoura Hills,34.14854853604788,-118.77098416798917,Private room,70,2,19,2016-06-19,0.50,3,351
4167319,A beautiful Town house near Malibu,5433968,Maryam,,Agoura Hills,34.14932324657214,-118.7706366433754,Entire home/apt,150,7,3,2016-02-22,0.20,3,357
10973343,Large room with great view,56933714,Shirley,,Agoura Hills,34.150273771815314,-118.76808264355262,Private room,75,1,11,2016-03-20,2.34,1,0
12610053,Beautiful Bedroom & private Bath,68446088,Maria,,Agoura Hills,34.150690693201895,-118.79119529730914,Private room,87,1,4,2016-06-05,1.76,1,357
10576630,"Single Story House, Private Bd & Ba",54546599,Sean & Corinne,,Agoura Hills,34.15075682526282,-118.78700574826675,Private room,55,2,7,2016-07-01,2.39,1,39
4589416,3 Room Suite w/pvt kitchenette/bath,18090781,Linda,,Agoura Hills,34.13997526831079,-118.74433803551791,Private room,105,2,42,2016-06-21,2.47,1,322
8271459,Agoura Hills room near Malibu,43614705,Rick,,Agoura Hills,34.15658934975999,-118.78246362234988,Private room,75,1,0,,,1,361
6239043,Private Cal King right off Hwy 101*,32380257,Wendy,,Agoura Hills,34.14530973448761,-118.74200298605905,Private room,62,30,13,2016-07-01,0.92,3,365
9778002,Comfortable room with shared bath,3159697,Tam,,Agoura Hills,34.151034425554755,-118.7874396145467,Private room,55,2,3,2016-04-29,0.51,4,364
6423582,Private CalKing right off Hwy 101,32380257,Wendy,,Agoura Hills,34.1459792817808,-118.7430912989587,Private room,60,30,12,2016-05-01,1.04,3,365
308582,Gramercy Place Dorm Rooms,1497543,Kellie,,Arlington Heights,34.046105105593696,-118.31319033235329,Shared room,33,30,13,2015-07-17,0.26,16,316
4777199,Arlington Heights Gem,1456157,Jaime,,Arlington Heights,34.04021095648429,-118.3151342336234,Entire home/apt,200,1,0,,,1,0
13202355,Cozy 2 BED in great location.,67695016,Sang Gil( Yoshiaki ),,Arlington Heights,34.04892892321,-118.3236753529612,Private room,48,1,0,,,1,336
3123678,Come and swim in my pool!,871934,Suzy,,Arlington Heights,34.05198438761127,-118.32055830810012,Entire home/apt,67,28,5,2016-04-30,0.36,1,356
12815098,LA Chosun House Men's Dormitory,68306402,Kim,,Arlington Heights,34.050322689977094,-118.3178864955397,Shared room,30,1,4,2016-06-17,2.14,9,365
5884952,Historic Hollywood Charm! Pvt Room,1763193,Jamie,,Arlington Heights,34.04975820207838,-118.32252767466873,Private room,89,1,2,2015-08-04,0.17,14,365
13628151,1 BD + 1 BA + 1 Parking in Koreatown,78993536,Bill,,Arlington Heights,34.052328235473,-118.32218586512312,Entire home/apt,95,2,1,2016-06-24,1,1,41
8012663,Historic Los Angeles Craftsman Home,42306649,Jeremy,,Arlington Heights,34.04867326898042,-118.31985949730743,Private room,64,2,33,2016-06-19,3.71,1,305
13000071,Private bed and bath in central LA townhouse,71664777,Daniel,,Arlington Heights,34.04734889605245,-118.32637768273348,Private room,90,1,0,,,1,89
13476058,Spacious 4 Bedroom House LA :),36612340,Christine,,Arlington Heights,34.04867568336655,-118.32620785919873,Entire home/apt,395,1,1,2016-06-26,1,4,325
5175424,Havana Hollywood!  Private-Central!,1763193,Jamie,,Arlington Heights,34.04984075063954,-118.3248396323026,Private room,99,1,7,2016-01-07,0.43,14,365
404691,Gramercy Place-month to month dorms,1497543,Kellie,,Arlington Heights,34.04596697887786,-118.31378606619778,Shared room,33,30,26,2016-03-03,0.55,16,306
1869249,Photo Shoots and Filming in LA,7577256,Nia,,Arlington Heights,34.05158621226909,-118.31952441280441,Entire home/apt,158,1,8,2015-02-10,0.25,2,214
12657662,"Clean, large 2bdrm, entire apt use!",68161933,Elan,,Arlington Heights,34.05015410669643,-118.31954182140646,Entire home/apt,250,1,0,,,1,365
2644961,Mid City LA Oasis 2 Bedrooms!,13538919,Samzie,,Arlington Heights,34.04872876173485,-118.32026925521396,Entire home/apt,145,1,18,2016-06-18,2.20,2,341
288038,Monthly Dorms at Gramercy Place,1497543,Kellie,,Arlington Heights,34.04640698654674,-118.31393880971294,Shared room,33,30,66,2016-04-05,1.19,16,321
288061,STUDENT HOUSING---month to month at Gramercy Place,1497543,Kellie,,Arlington Heights,34.04563968927009,-118.31383221390425,Shared room,38,30,26,2015-12-19,0.56,16,331
404795,Gramercy Place--GROUPS up to 12 people!,1497543,Kellie,,Arlington Heights,34.04564291316496,-118.3140905196151,Shared room,33,30,19,2016-03-17,0.38,16,330
9138432,"""The Grace Room""",46188385,La Donna,,Arlington Heights,34.04247323561009,-118.3157752815657,Private room,59,2,11,2016-05-30,1.42,4,326
2430715,Charming Alcove ,12423079,Allan,,Arlington Heights,34.05146237488419,-118.31552089706629,Shared room,35,2,6,2015-01-27,0.22,1,2
8867000,"""The Peace Room""",46188385,La Donna,,Arlington Heights,34.043474346939526,-118.3151079212247,Private room,59,2,20,2016-06-17,2.38,4,300
1914160,Peaceful country retreat w/ view.,9928709,Jolli,,Agua Dulce,34.51374496680081,-118.35712852122866,Entire home/apt,135,2,12,2016-01-03,0.43,1,361
6390085,LA잠자리4(man's room),31539640,La,,Arlington Heights,34.05235200999557,-118.31664583110354,Shared room,25,2,10,2016-03-11,0.75,4,364
11627514,Fruit Tree Oasis in Mid City LA,61601830,Yang,,Arlington Heights,34.03850573701342,-118.32275536425965,Private room,39,1,5,2016-06-27,3.00,1,362
12814469,LA Chosun House Special Suite 1,68306402,Kim,,Arlington Heights,34.048476961714925,-118.31816930486207,Private room,120,1,0,,,9,364
951058,French Cosy Rm-Aussie-Reikimassage,4743375,Rebekah,,Arlington Heights,34.03815796048321,-118.3266572453696,Private room,68,1,110,2016-05-29,3.40,5,361
